,Value,Feature
0,0.0656737186805402,Condom_use
1,0.06034285796485131,Seatbelt_Use
2,0.05317625031046816,Tobacco_frequency_total
3,0.04894958461285657,Victim_rape
4,0.04108209976742026,Physical_fight
5,0.02823228268552291,Drug_use_frequency
6,0.02774480966616233,Sunscreen_use
7,0.027731250195055204,Carry_Weapon
8,0.024919072896693976,Victim_rape_relationship
9,0.0240721719726378,Tobacco_quit
10,0.02204971778840254,PSU
11,0.021207138337438546,Smoke_cigarette
12,0.018426182167009007,Stratum
13,0.018234934753128505,Victim_rape_12mos
14,0.01783584992695716,Carry_Gun
15,0.017393375509005642,Alcohol_acquire
16,0.01445726835679695,Sexual_orientation
17,0.014368714973319393,Tanning_Device_frequency
18,0.014058485341178881,Weight
19,0.01268179046715655,TV_frequency
20,0.012326121349487379,Nutrition_potatoes
21,0.011627150313049698,BMIPCT
22,0.011310608494041488,Grades_past_year
23,0.010438875755852325,Weight2
24,0.009318499907096952,Height
25,0.009185868592067454,Nutrition_allergies
26,0.008722650600675529,Nutrition_vegetables
27,0.008231721806905947,Suicide_consider
28,0.00817311277492734,Sports_participation
29,0.007617969617467362,Nutrition_juice
30,0.007617282035447217,Weight_self_description
31,0.007566724990360664,Asthma
32,0.007505938106312603,Nutrition_carrots
33,0.0074116957089231965,Tested_STI
34,0.007383418001937429,Suicide_plan
35,0.007302619030130217,Nutrition_salad
36,0.007194818525433148,Concussion
37,0.007115576029687468,Alcohol_initial_age
38,0.0068604544695149185,Driving_Distracted
39,0.006859319087586678,Prescription_abuse_frequency
40,0.006842045594105639,Smoke_initial_age
41,0.006662759132883727,Alcohol_total_drinks
42,0.006639288802223643,Nutrition_milk
43,0.006523496651607171,Nutrition_water
44,0.006502230469605013,Nutrition_soda
45,0.005982366706583866,Nutrition_sportsdrink
46,0.005904205537521994,Weight_loss
47,0.005808664572076543,Sex_sexual_partners
48,0.005727836397991344,RaceEth
49,0.005698593978163726,Age
50,0.005511526737105088,Nutrition_fruit
51,0.005502365797159922,Drug_hallucinogenic
52,0.005415632838048903,Marijuana_synthetic
53,0.005148930744867574,Nutrition_breakfast
54,0.005085808857381627,First_sexual_encounter
55,0.005009222761433857,English_fluency
56,0.0049503314855980154,Vape_acquire
57,0.004896949233237447,Marijuana_initial_age
58,0.0048345395361309,Sex_alcohol_drugs
59,0.004821919175467305,Sexually_active
60,0.004805000937491242,Victim_violence_relationship
61,0.0047444758912882435,Grade
62,0.004692775595401489,Video_Games_frequency
63,0.004680775362473871,Alcohol_drink
64,0.004617664803676469,Tested_HIV_Aids
65,0.004478514373903743,Excercise_frequency
66,0.004383403131792936,Dentist_visit
67,0.004326004396486202,white
68,0.004303869545449867,Difficult_focus
69,0.004232262478918285,Sex_birth_control
70,0.004203300600024756,Bullied_online
71,0.004178164181672745,Vape_frequency
72,0.0041083592603718,Drug_ecstasy
73,0.0040524578874322785,Drug_acquire_school
74,0.003963987553442397,Driving_DUI_Self
75,0.003900878747169205,Sleep_school_night
76,0.003882069384465032,Marijuana_use
77,0.0038647891443299403,Bullied_school
78,0.0038580976232637006,Hopeless
79,0.003814874567425888,Vape_use
80,0.0035715571850725896,Marijuana_frequency
81,0.0035419696359742323,Number_sexual_partners_3mo
82,0.003459845212679407,Physical_fight_school
83,0.0032660215903942413,Alcohol_four_drinks
84,0.0031408372283814358,Number_sexual_partners
85,0.003034457919599707,Excercise_strength
86,0.0026890414969884284,Phys_Ed_frequency
87,0.0025999145061316505,Driving_DUI_Other
88,0.002573435025587122,Prescription_abuse
89,0.0025596216953498066,School_Unsafe
90,0.0024339684997121106,Hispanic
91,0.002281831822623165,Drug_meth
92,0.0022755166075177843,black
93,0.002186082785656535,Tobacco_frequency_days
94,0.0021581918235013373,Cigars_frequency
95,0.002110694017138206,Drug_steroids
96,0.0020861544011217233,Sex
97,0.0020559037063891034,Drug_needle
98,0.0020551930076275894,Drug_sniff_glue
99,0.0018922919987539265,School_physical_condition
100,0.0017402369341231502,Tobacco_chew_frequency
101,0.0016791441443031359,Carry_Weapon_School
102,0.0012029252922992992,Drug_heroin
103,0.0009481690228178785,AIN
104,0.0008862151953441687,asian
105,0.0006023571997321235,PI
